TF,gene,effect
Lrp,sdaB,+
Lrp,sdaB,-
Lrp,yqeF,-
Lrp,yqeF,+
Lrp,gcvP,+
Lrp,gcvP,+
Lrp,gcvH,+
Lrp,gcvH,+
Lrp,gcvT,+
Lrp,gcvT,+
Lrp,ssrS,-
Lrp,fau,-
Lrp,serA,+
Lrp,serA,-
Lrp,serA,+
Lrp,serA,-
Lrp,argO,+
Lrp,metK,-
Lrp,metK,+
Lrp,ansB,+
Lrp,ansB,-
Lrp,patA,-
Lrp,sstT,+
Lrp,sstT,-
Lrp,tdcA,-
Lrp,tdcB,-
Lrp,tdcC,-
Lrp,tdcD,-
Lrp,tdcE,-
Lrp,tdcF,-
Lrp,tdcG,-
Lrp,tdcA,+
Lrp,tdcB,+
Lrp,tdcC,+
Lrp,tdcD,+
Lrp,tdcE,+
Lrp,tdcF,+
Lrp,tdcG,+
Lrp,mtr,+
Lrp,mtr,-
Lrp,gltB,+
Lrp,gltD,+
Lrp,gltF,+
Lrp,gltB,+
Lrp,gltD,+
Lrp,gltF,+
Lrp,gltB,-
Lrp,gltD,-
Lrp,gltF,-
Lrp,yhcN,-
Lrp,yhcN,+
Lrp,rrfF,-
Lrp,thrV,-
Lrp,rrfD,-
Lrp,rrlD,-
Lrp,alaU,-
Lrp,ileU,-
Lrp,rrsD,-
Lrp,malT,+
Lrp,yzgL,+
Lrp,yzgL,-
Lrp,yhhW,-
Lrp,yhhW,+
Lrp,livK,-
Lrp,livH,-
Lrp,livM,-
Lrp,livG,-
Lrp,livF,-
Lrp,livK,-
Lrp,livH,-
Lrp,livM,-
Lrp,livG,-
Lrp,livF,-
Lrp,livJ,-
Lrp,livJ,-
Lrp,dtpB,-
Lrp,dtpB,+
Lrp,hdeA,-
Lrp,hdeB,-
Lrp,yhiD,-
Lrp,yhjE,-
Lrp,yhjE,+
Lrp,dppA,+
Lrp,dppB,+
Lrp,dppC,+
Lrp,dppD,+
Lrp,dppF,+
Lrp,dppA,-
Lrp,dppB,-
Lrp,dppC,-
Lrp,dppD,-
Lrp,dppF,-
Lrp,avtA,-
Lrp,avtA,-
Lrp,avtA,+
Lrp,tdh,+
Lrp,tdh,-
Lrp,tdh,+
Lrp,kbl,+
Lrp,kbl,-
Lrp,kbl,+
Lrp,uhpC,+
Lrp,uhpC,-
Lrp,uhpB,+
Lrp,uhpB,-
Lrp,uhpA,+
Lrp,uhpA,-
Lrp,ilvN,+
Lrp,ilvN,-
Lrp,ilvB,+
Lrp,ilvB,-
Lrp,ivbL,+
Lrp,ivbL,-
Lrp,emrD,-
Lrp,emrD,+
Lrp,rrsC,-
Lrp,gltU,-
Lrp,rrlC,-
Lrp,rrfC,-
Lrp,ilvL,-
Lrp,ilvX,-
Lrp,ilvG_1,-
Lrp,ilvG_2,-
Lrp,ilvM,-
Lrp,ilvE,-
Lrp,ilvD,-
Lrp,ilvA,-
Lrp,ilvG_1,+
Lrp,ilvG_1,-
Lrp,ilvG_2,-
Lrp,ilvG_2,+
Lrp,ilvM,+
Lrp,ilvM,-
Lrp,ilvE,+
Lrp,ilvE,-
Lrp,ilvD,+
Lrp,ilvD,-
Lrp,ilvA,+
Lrp,ilvA,-
Lrp,rrsA,-
Lrp,ileT,-
Lrp,alaT,-
Lrp,rrlA,-
Lrp,rrfA,-
Lrp,rrsB,-
Lrp,gltT,-
Lrp,rrlB,-
Lrp,rrfB,-
Lrp,rrsE,-
Lrp,gltV,-
Lrp,rrlE,-
Lrp,rrfE,-
Lrp,aceB,+
Lrp,aceA,+
Lrp,aceK,+
Lrp,aceB,-
Lrp,aceA,-
Lrp,aceK,-
Lrp,yjbJ,+
Lrp,yjbJ,-
Lrp,yjbQ,-
Lrp,yjbQ,+
Lrp,dcuB,+
Lrp,fumB,+
Lrp,dcuB,-
Lrp,fumB,-
Lrp,lysU,-
Lrp,lysU,-
Lrp,lysU,+
Lrp,cadB,+
Lrp,cadA,+
Lrp,aspA,+
Lrp,dcuA,+
Lrp,aspA,-
Lrp,dcuA,-
Lrp,yjeM,-
Lrp,yjeM,+
Lrp,aidB,-
Lrp,cycA,+
Lrp,cycA,-
Lrp,ytfK,-
Lrp,ytfK,+
Lrp,fimE,+
Lrp,fimA,+
Lrp,fimA,+
Lrp,fimI,+
Lrp,fimI,+
Lrp,fimC,+
Lrp,fimC,+
Lrp,fimD,+
Lrp,fimD,+
Lrp,fimF,+
Lrp,fimF,+
Lrp,fimG,+
Lrp,fimG,+
Lrp,fimH,+
